classifier,accuracy,precision,recall,f1_score
MLP_relu_adam,0.935,0.9330024813895782,0.9376558603491272,0.9353233830845771
MLP_tanh_lbfgs,0.9175,0.9156327543424317,0.9201995012468828,0.917910447761194
